Заказ,Сумма,Количество,Цена
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000006128 от 27.08.2019 10:26:34, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000006348 от 31.08.2019 10:45:02, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000006496 от 04.09.2019 08:41:00, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000006687 от 07.09.2019 08:55:45, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000006829 от 11.09.2019 12:33:46, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000007036 от 16.09.2019 09:26:24, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000007278 от 19.09.2019 12:24:19, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000007394 от 23.09.2019 12:31:04, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000007640 от 26.09.2019 11:47:06, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000007787 от 30.09.2019 09:33:14, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000008010 от 03.10.2019 11:38:47, <...>","1,890.00",7.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000008354 от 09.10.2019 14:11:44, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000008453 от 11.10.2019 12:06:11, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000008565 от 15.10.2019 08:00:27, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000008848 от 19.10.2019 09:31:37, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000009057 от 23.10.2019 11:20:37, <...>","1,890.00",7.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000009248 от 28.10.2019 13:06:25, <...>","1,080.00",4.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000009485 от 31.10.2019 12:29:58, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000009590 от 04.11.2019 08:07:50, <...>","1,350.00",5.000,270.00
